% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
54.401	1	1	1	5324.57	0
54.441	1	1	1	5324.57	0
54.481	1	1	1	5324.57	0
54.521	1	1	1	5324.57	0
54.561	1	1	1	5324.57	0
54.601	1	1	1	5324.57	0
54.641	1	1	1	5324.57	0
54.681	1	1	1	5324.57	0
54.721	1	1	1	5324.57	0
54.761	1	1	1	5324.57	0
54.801	1	1	1	5324.57	0
54.841	1	1	1	5324.57	0
54.881	1	1	1	5324.57	0
54.921	1	1	1	5324.57	0
54.961	1	1	1	5324.57	0
55.001	1	1	1	5324.57	0
55.041	1	1	1	5324.57	0
55.081	1	1	1	5324.57	0
55.121	1	1	1	5324.57	0
55.161	1	1	1	5324.57	0
55.201	1	1	1	5324.57	0
55.241	1	1	1	5324.57	0
55.281	1	1	1	5324.57	0
55.321	1	1	1	5324.57	0
55.361	1	1	1	5324.57	0
55.401	1	1	1	5324.57	0
55.441	1	1	1	5324.57	0
55.481	1	1	1	5324.57	0
55.521	1	1	1	5324.57	0
55.561	1	1	1	5324.57	0
55.601	1	1	1	5324.57	0
55.641	1	1	1	5324.57	0
55.681	1	1	1	5324.57	0
55.721	1	1	1	5324.57	0
55.761	1	1	1	5324.57	0
55.801	1	1	1	5324.57	0
55.841	1	1	1	5324.57	0
55.881	1	1	1	5324.57	0
55.921	1	1	1	5324.57	0
55.961	1	1	1	5324.57	0
56.001	1	1	1	5324.57	0
56.041	1	1	1	5324.57	0
56.081	1	1	1	5324.57	0
56.121	1	1	1	5324.57	0
56.161	1	1	1	5324.57	0
56.201	1	1	1	5324.57	0
56.241	1	1	1	5324.57	0
56.281	1	1	1	5324.57	0
56.321	1	1	1	5324.57	0
56.361	1	1	1	5324.57	0
56.401	1	1	1	5324.57	0
56.441	1	1	1	5324.57	0
56.481	1	1	1	5324.57	0
56.521	1	1	1	5324.57	0
56.561	1	1	1	5324.57	0
56.601	1	1	1	5324.57	0
56.641	1	1	1	5324.57	0
56.681	1	1	1	5324.57	0
56.721	1	1	1	5324.57	0
56.761	1	1	1	5324.57	0
56.801	1	1	1	5324.57	0
56.841	1	1	1	5324.57	0
56.881	1	1	1	5324.57	0
56.921	1	1	1	5324.57	0
56.961	1	1	1	5324.57	0
57.001	1	1	1	5324.57	0
57.041	1	1	1	5324.57	0
57.081	1	1	1	5324.57	0
57.121	1	1	1	5324.57	0
57.161	1	1	1	5324.57	0
57.201	1	1	1	5324.57	0
57.241	1	1	1	5324.57	0
57.281	1	1	1	5324.57	0
57.321	1	1	1	5324.57	0
57.361	1	1	1	5324.57	0
57.401	1	1	1	5324.57	0
57.441	1	1	1	5324.57	0
57.481	1	1	1	5324.57	0
57.521	1	1	1	5324.57	0
57.561	1	1	1	5324.57	0
57.601	1	1	1	5324.57	0
57.641	1	1	1	5324.57	0
57.681	1	1	1	5324.57	0
57.721	1	1	1	5324.57	0
57.761	1	1	1	5324.57	0
57.801	1	1	1	5324.57	0
57.841	1	1	1	5324.57	0
57.881	1	1	1	5324.57	0
57.921	1	1	1	5324.57	0
57.961	1	1	1	5324.57	0
58.001	1	1	1	5324.57	0
58.041	1	1	1	5324.57	0
58.081	1	1	1	5324.57	0
58.121	1	1	1	5324.57	0
58.161	1	1	1	5324.57	0
58.201	1	1	1	5324.57	0
58.241	1	1	1	5324.57	0
58.281	1	1	1	5324.57	0
58.321	1	1	1	5324.57	0
58.361	1	1	1	5324.57	0
58.401	1	1	1	5324.57	0
58.441	1	1	1	5324.57	0
58.481	1	1	1	5324.57	0
58.521	1	1	1	5324.57	0
58.561	1	1	1	5324.57	0
58.601	1	1	1	5324.57	0
58.641	1	1	1	5324.57	0
58.681	1	1	1	5324.57	0
58.721	1	1	1	5324.57	0
58.761	1	1	1	5324.57	0
58.801	1	1	1	5324.57	0
58.841	1	1	1	5324.57	0
58.881	1	1	1	5324.57	0
58.921	1	1	1	5324.57	0
58.961	1	1	1	5324.57	0
59.001	1	1	1	5324.57	0
59.041	1	1	1	5324.57	0
59.081	1	1	1	5324.57	0
59.121	1	1	1	5324.57	0
59.161	1	1	1	5324.57	0
59.201	1	1	1	5324.57	0
59.241	1	1	1	5324.57	0
59.281	1	1	1	5324.57	0
59.321	1	1	1	5324.57	0
59.361	1	1	1	5324.57	0
59.401	1	1	1	5324.57	0
